Abramis brama	Freshwater bream
Abudefduf saxatilis	Sergeant-major
Abudefduf sordidus	Blackspot sergeant
Acanthocybium solandri	Wahoo
Acanthopagrus australis	Yellowfin bream
Acanthopagrus butcheri	Southern Black bream
Acanthopagrus latus	Yellowfin seabream
Acanthostracion quadricornis	Scrawled cowfish
Acanthurus chirurgus	Doctorfish
Acanthurus coeruleus	Blue tang surgeonfish
Acanthurus dussumieri	Eyestripe surgeonfish
Achoerodus viridis	Eastern blue groper
Acipenser fulvescens	Lake sturgeon
Acipenser transmontanus	White sturgeon
Acroteriobatus annulatus	Lesser sandshark
Aetobatus narinari	Whitespotted eagle ray
Albula vulpes	Bonefish
Aldrichetta forsteri	Yellow-eye mullet
Alectis ciliaris	African pompano
Alopias vulpinus	Thresher
Alosa chrysochloris	Skipjack shad
Alosa pseudoharengus	Alewife
Alosa sapidissima	American shad
Aluterus monoceros	Unicorn leatherjacket filefish
Aluterus schoepfii	Orange filefish
Aluterus scriptus	Scribbled leatherjacket filefish
Ambloplites rupestris	Rock bass
Ameiurus catus	White catfish
Ameiurus melas	Black bullhead
Ameiurus natalis	Yellow bullhead
Ameiurus nebulosus	Brown bullhead
Amia calva	Bowfin
Amniataba percoides	Barred grunter
Amphilophus citrinellus	Midas cichlid
Amphiprion percula	Orange clownfish
Amphistichus argenteus	Barred surfperch
Anchoa mitchilli	Bay anchovy
Anguilla anguilla	European eel
Anguilla reinhardtii	Speckled longfin eel
Anguilla rostrata	American eel
Anisotremus davidsonii	Xantic sargo
Anisotremus surinamensis	Black margate
Anisotremus virginicus	Porkfish
Aplodinotus grunniens	Freshwater drum
Aprion virescens	Green jobfish
Archosargus probatocephalus	Sheepshead
Archosargus rhomboidalis	Western Atlantic seabream
Argyrosomus japonicus	Japanese meagre
Ariopsis felis	Hardhead sea catfish
Arothron hispidus	White-spotted puffer
Arothron stellatus	Stellate puffer
Arripis trutta	Australian salmon
Arripis truttacea	Western Australian salmon
Astronotus ocellatus	Oscar
Atherinops affinis	Topsmelt silverside
Atractosteus spatula	Alligator gar
Atule mate	Yellowtail scad
Aulostomus maculatus	Trumpetfish
Bagre marinus	Gafftopsail sea catfish
Bairdiella chrysoura	Goldtail croaker
Balistapus undulatus	Orange-lined triggerfish
Balistes capriscus	Grey triggerfish
Balistes vetula	Queen triggerfish
Balistoides viridescens	Titan triggerfish
Barbonymus gonionotus	Silver barb
Barbus barbus	Barbel
Belone belone	Garfish
Bidyanus bidyanus	Silver perch (Australia)
Blicca bjoerkna	White bream
Bodianus rufus	Spanish hogfish
Boops boops	Bogue
Brachaelurus waddi	Blind shark
Brevoortia tyrannus	Atlantic menhaden
Calamus bajonado	Jolthead porgy
Campostoma anomalum	Central stoneroller
Cantherhines pullus	Orangespotted filefish
Canthigaster rostrata	Caribbean sharpnose-puffer
Caranx bartholomaei	Yellow jack
Caranx caninus	Pacific crevalle jack
Caranx crysos	Blue runner
Caranx hippos	Crevalle jack
Caranx ignobilis	Giant trevally
Caranx latus	Horse-eye jack
Caranx lugubris	Black jack
Caranx melampygus	Bluefin trevally
Caranx papuensis	Brassy trevally
Caranx ruber	Bar jack
Caranx sexfasciatus	Bigeye trevally
Carassius auratus	Goldfish
Carassius carassius	Crucian carp
Carassius gibelio	Prussian carp
Carcharhinus acronotus	Blacknose shark
Carcharhinus brevipinna	Spinner shark
Carcharhinus falciformis	Silky shark
Carcharhinus isodon	Finetooth shark
Carcharhinus leucas	Bull shark
Carcharhinus limbatus	Blacktip shark
Carcharhinus melanopterus	Blacktip reef shark
Carcharhinus obscurus	Dusky shark
Carcharhinus plumbeus	Sandbar shark
Carcharias taurus	Sand tiger shark
Carcharodon carcharias	Great white shark
Carpiodes carpio	River carpsucker
Catostomus catostomus	Longnose sucker
Catostomus commersonii	White sucker
Centrarchus macropterus	Flier
Centropomus parallelus	Fat snook
Centropomus undecimalis	Common snook
Centropristis striata	Black seabass
Cephalopholis argus	Peacock hind
Cephalopholis cruentata	Graysby
Cephalopholis fulva	Coney
Cephalopholis miniata	Coral hind
Chaetodipterus faber	Atlantic spadefish
Chaetodon capistratus	Foureye butterflyfish
Chaetodon ephippium	Saddle butterflyfish
Channa argus	Northern snakehead
Channa aurolineata	Bullseye Snakehead
Channa marulius	Great snakehead
Channa micropeltes	Indonesian snakehead
Channa pseudomarulius	Orangespotted snakehead
Channa striata	Striped snakehead
Cheilinus trilobatus	Tripletail wrasse
Cheilinus undulatus	Humphead wrasse
Cheilio inermis	Cigar wrasse
Chitala ornata	Clown knifefish
Chloroscombrus chrysurus	Atlantic bumper
Chlorurus sordidus	Daisy parrotfish
Chromis chromis	Damselfish
Chrysoblephus laticeps	Roman seabream
Cichla ocellaris	Butterfly peacock bass (Peacock cichlid)
Cirrhitus pinnulatus	Stocky hawkfish
Clarias batrachus	Philippine catfish
Clarias gariepinus	North African catfish
Clupea harengus	Atlantic herring
Clupea pallasii	Pacific herring
Cnidoglanis macrocephalus	Estuary cobbler
Conger conger	European conger
Coptodon rendalli	Redbreast tilapia
Coptodon zillii	Redbelly tilapia
Coregonus clupeaformis	Lake whitefish
Coris julis	Mediterranean rainbow wrasse
Coryphaena hippurus	Mahi Mahi
Cottus bairdii	Mottled sculpin
Ctenolabrus rupestris	Goldsinny-wrasse
Ctenopharyngodon idella	Grass carp
Cymatogaster aggregata	Shiner perch
Cynoscion nebulosus	Spotted seatrout
Cynoscion regalis	Squeteague
Cyprinella lutrensis	Red shiner
Cyprinella spiloptera	Spotfin shiner
Cyprinella venusta	Blacktail shiner
Cyprinus carpio	Common carp
Cyprinus carpio carpio	Mirror Carp
Cyprinus rubrofuscus	Koi Carp
Dactylopterus volitans	Flying gurnard
Dasyatis pastinaca	Common stingray
Decapterus macarellus	Mackerel scad
Dentex dentex	Common dentex
Diagramma pictum	Painted sweetlips
Dicentrarchus labrax	European seabass
Dicentrarchus punctatus	Spotted seabass
Dichistius capensis	Galjoen
Diodon holocanthus	Longspined porcupinefish
Diodon hystrix	Spot-fin porcupinefish
Diplectrum formosum	Sand perch
Diplodus annularis	Annular seabream
Diplodus capensis	Cape white seabream
Diplodus cervinus	Zebra seabream
Diplodus holbrookii	Spottail seabream
Diplodus puntazzo	Sharpsnout seabream
Diplodus sargus	White seabream
Diplodus vulgaris	Common two-banded seabream
Dorosoma cepedianum	American gizzard shad
Echeneis naucrates	Live sharksucker
Elagatis bipinnulata	Rainbow runner
Ellochelon vaigiensis	Squaretail mullet
Elops saurus	Ladyfish
Embiotoca jacksoni	Black perch
Enneacanthus gloriosus	Bluespotted sunfish
Enneacanthus obesus	Banded sunfish
Ephippion guttifer	Prickly puffer
Epinephelus adscensionis	Rock hind
Epinephelus coioides	Orange-spotted grouper
Epinephelus fasciatus	Blacktip grouper
Epinephelus fuscoguttatus	Brown-marbled grouper
Epinephelus guttatus	Red hind
Epinephelus itajara	Atlantic goliath grouper
Epinephelus labriformis	Starry grouper
Epinephelus lanceolatus	Giant grouper
Epinephelus malabaricus	Malabar grouper
Epinephelus marginatus	Dusky grouper
Epinephelus merra	Honeycomb grouper
Epinephelus morio	Red grouper
Epinephelus striatus	Nassau grouper
Epinephelus tauvina	Greasy grouper
Epinephelus tukula	Potato grouper
Esox americanus	Redfin pickerel
Esox lucius	Northern pike
Esox masquinongy	Muskellunge
Esox masquinongy X Esox lucius	Tiger Muskellunge
Esox niger	Chain pickerel
Etelis oculatus	Queen snapper
